City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,mlandizi,-6.7,38.7333,23.26,93,100,1.3,TZ,1675646247
258,san patricio,28.017,-97.5169,20.1,85,0,4.27,US,1675646248
259,mount gambier,-37.8333,140.7667,19.8,53,19,2.98,AU,1675646228
260,arroyo,41.6096,-4.7969,3.95,82,0,7.72,ES,1675646249
261,bodden town,19.2833,-81.25,26.11,75,20,1.54,KY,1675645988
262,sao joao da barra,-21.6403,-41.0511,24.29,95,11,0.57,BR,1675646249
263,kiruna,67.8557,20.2251,-4.49,68,75,4.63,SE,1675646331
264,nikolskoye,59.7035,30.7861,-3.06,94,100,3.2,RU,1675646184
265,gorzow wielkopolski,52.7368,15.2288,-1.6,71,97,1.74,PL,1675646250
266,mayo,38.8876,-76.5119,11.23,73,0,5.14,US,1675646250
267,kavaratti,10.5669,72.642,26.6,75,13,2.88,IN,1675646218
268,yurino,56.2942,46.3039,-18.63,100,99,1.24,RU,1675645990
269,teguise,29.0605,-13.564,12.12,82,0,4.12,ES,1675646250
270,lata,40.1629,-8.3327,4.49,76,0,1.92,PT,1675646204
271,saint george,37.1041,-113.5841,8.33,63,100,7.72,US,1675646012
272,andenes,69.3143,16.1194,2.99,75,100,8.23,NO,1675646017
273,chelno-vershiny,54.4333,51.1,-10.1,97,100,1.21,RU,1675646251
274,jumla,29.2747,82.1838,2.1,49,0,1.85,NP,1675646252
275,barra do garcas,-15.89,-52.2567,23.11,89,94,0.74,BR,1675646252
276,olafsvik,64.8945,-23.7142,1.96,69,100,18.54,IS,1675646190
277,cape canaveral,28.4058,-80.6048,19.04,87,100,4.63,US,1675646025
278,ketchikan,55.3422,-131.6461,3.26,87,100,5.14,US,1675646252
279,ponta do sol,32.6667,-17.1,16.35,52,4,2.47,PT,1675646195
280,stephenville crossing,48.5,-58.4318,-2.93,93,75,6.17,CA,1675646253
281,rincon,32.296,-81.2354,12.98,88,0,2.06,US,1675646253
282,mattru,7.6244,-11.8332,23.95,81,100,1.06,SL,1675646254
283,vestmannaeyjar,63.4427,-20.2734,4.64,66,100,10.63,IS,1675646254
284,kloulklubed,7.0419,134.2556,27.28,77,100,9.48,PW,1675646254
285,bongandanga,1.5,21.05,23.15,40,65,1.76,CD,1675646255
286,dicabisagan,17.0818,122.4157,25.5,83,73,1.24,PH,1675645998
287,ilulissat,69.2167,-51.1,-16.99,78,100,10.8,GL,1675646183
288,bar harbor,44.3876,-68.2039,2.35,77,0,0.0,US,1675646256
289,gizo,-8.103,156.8419,25.96,89,100,6.58,SB,1675646257
290,vaitape,-16.5167,-151.75,27.75,73,8,6.61,PF,1675646000
291,coquimbo,-29.9533,-71.3436,18.85,82,0,2.57,CL,1675645825
292,nkayi,-4.1841,13.2884,22.53,97,100,2.11,CG,1675646257
293,santa cruz,-17.8,-63.1667,23.7,88,40,2.57,BO,1675645893
294,souillac,-20.5167,57.5167,25.21,88,40,1.54,MU,1675646258
295,mahalapye,-23.1041,26.8142,22.39,50,28,2.95,BW,1675646258
296,ko samui,9.5357,99.9357,27.95,78,20,2.06,TH,1675646260
297,salyan,39.5936,48.9805,5.43,88,100,2.52,AZ,1675646260
298,villa bruzual,9.3328,-69.1208,28.12,49,99,1.93,VE,1675646260
299,hai duong,20.9333,106.3167,20.0,91,100,4.35,VN,1675646260
300,vila do maio,15.1333,-23.2167,20.44,62,100,10.01,CV,1675646003
301,san andres,12.5847,-81.7006,26.01,83,40,8.23,CO,1675646261
302,bitung,1.4451,125.1824,29.47,77,99,4.01,ID,1675645987
303,ponta delgada,37.7333,-25.6667,15.4,77,75,4.63,PT,1675646261
304,prince rupert,54.3161,-130.3201,4.67,80,100,4.37,CA,1675646069
305,boca do acre,-8.7522,-67.3978,22.35,98,100,1.2,BR,1675646262
306,fort abbas,29.1925,72.8536,17.6,34,0,3.46,PK,1675646263
307,morondava,-20.2833,44.2833,24.46,87,100,3.09,MG,1675646263
308,solnechnyy,50.7214,136.6319,-17.94,93,89,1.05,RU,1675646263
309,ha giang,22.8333,104.9833,20.4,99,100,1.21,VN,1675646264
310,tuatapere,-46.1333,167.6833,16.29,80,95,4.52,NZ,1675646207
311,haines junction,60.7522,-137.5108,-10.03,79,100,0.51,CA,1675646264
312,dutlwe,-23.9833,23.9,22.62,58,18,3.51,BW,1675646265
313,cotonou,6.3654,2.4183,27.07,88,100,4.82,BJ,1675646266
314,hibbing,47.4272,-92.9377,-13.36,49,0,0.0,US,1675646266
315,faya,18.3851,42.4509,13.29,62,98,1.31,SA,1675646267
316,kilrush,52.6397,-9.4833,6.86,94,17,4.51,IE,1675646267
317,san vicente,-26.6167,-54.1333,19.17,51,100,0.69,AR,1675646002
318,nazare,-13.035,-39.0144,23.9,89,4,1.47,BR,1675646008
319,sogne,58.0833,7.8167,4.27,97,56,0.45,NO,1675646267
320,garissa,-0.4536,39.6401,23.38,74,0,4.1,KE,1675646268
321,ponte de sor,39.2496,-8.0101,5.32,75,0,2.78,PT,1675646268
322,bangolo,7.0069,-7.475,23.23,69,100,1.0,CI,1675646268
323,de-kastri,51.4667,140.7833,-15.64,85,100,2.35,RU,1675646269
324,shebunino,46.4339,141.8603,-5.55,66,100,4.41,RU,1675646011
325,margate,51.3813,1.3862,5.39,89,63,1.34,GB,1675646234
326,sola,-13.8833,167.55,27.25,79,100,6.35,VU,1675646269
327,simao,22.7886,100.9748,13.22,48,3,0.7,CN,1675646269
328,wagga wagga,-35.1167,147.3667,28.11,45,0,2.63,AU,1675646270
329,sembe,1.6481,14.5806,22.43,61,58,1.8,CG,1675646013
330,fiche,9.8,38.7333,8.16,44,10,1.27,ET,1675646270
331,cockburn town,21.4612,-71.1419,24.98,69,40,6.69,TC,1675646270
332,opuwo,-18.0607,13.84,18.89,51,100,1.89,NA,1675646015
333,ambovombe,-25.1667,46.0833,22.48,86,100,6.35,MG,1675646271
334,kato khorion,35.05,25.7833,7.42,72,51,16.09,GR,1675646016
335,noumea,-22.2763,166.4572,33.33,99,44,3.44,NC,1675646010
336,fortuna,40.5982,-124.1573,9.25,92,98,0.45,US,1675646103
337,santa maria,-29.6842,-53.8069,22.32,59,85,1.94,BR,1675646252
338,asyut,27.181,31.1837,10.88,53,0,3.29,EG,1675646016
339,verkhovye,52.8119,37.2425,-5.14,94,100,3.98,RU,1675646338
340,loa janan,-0.583,117.095,27.34,80,78,1.16,ID,1675646272
341,tougue,11.4667,-11.6,21.59,20,100,0.62,GN,1675646272
342,baculin,7.4525,126.5842,28.01,69,100,2.26,PH,1675646018
343,bara,10.3744,10.7288,24.04,21,96,3.92,NG,1675646271
344,mezen,65.8522,44.24,-19.43,98,22,2.83,RU,1675646272
345,almaznyy,48.0448,40.045,-3.92,95,100,4.92,RU,1675646273
346,comodoro rivadavia,-45.8667,-67.5,16.92,72,0,1.54,AR,1675646273
347,alice springs,-23.7,133.8833,28.75,16,2,6.17,AU,1675646270
348,lucea,18.451,-78.1736,26.92,76,0,2.23,JM,1675646274
349,muros,42.7762,-9.0603,7.13,78,1,3.49,ES,1675646274
350,rylsk,51.5655,34.6822,-5.57,96,93,3.55,RU,1675646340
351,amapa,1.0,-52.0,22.13,98,100,1.72,BR,1675646341
352,kyren,51.6828,102.1408,-17.67,91,61,0.45,RU,1675646341
353,codrington,-38.2667,141.9667,18.37,60,88,3.59,AU,1675646049
354,hutchinson,38.0608,-97.9298,8.91,48,0,2.06,US,1675646170
355,mitu,1.1983,-70.1733,21.8,94,87,0.68,CO,1675646346
356,guerrero negro,27.9769,-114.0611,16.1,77,96,8.43,MX,1675646319
357,sweetwater,25.7634,-80.3731,23.33,94,75,0.0,US,1675646268
358,asau,46.4333,26.4,-4.29,93,100,3.75,RO,1675646058
359,marrakesh,31.6315,-8.0083,11.04,46,20,3.09,MA,1675646351
360,likasi,-10.9814,26.7333,16.79,96,100,0.6,CD,1675646355
361,saint-michel-des-saints,46.6834,-73.9159,-3.92,98,100,0.75,CA,1675646138
362,mapastepec,15.4333,-92.9,24.59,67,0,0.86,MX,1675646357
363,necochea,-38.5473,-58.7368,23.48,46,96,3.39,AR,1675646358
